ListID,Presented Word,Present Position,Recalled Word,Recall Position,Reaction Time,Hit,Participant ID,Participant Group
0,MASA,1,masa,1.0,4.486726999981329,1,9,soc
0,CAM,2,cam,3.0,1.8186922000022605,1,9,soc
0,SU,3,su,2.0,2.2662458999548107,1,9,soc
0,İYİLİK,4,iyilik,4.0,2.599360199994408,1,9,soc
0,TÜTÜN,5,tütün,5.0,2.284987400053069,1,9,soc
0,KELİME,6,,,,0,9,soc
1,KALEM,1,kalem,3.0,2.1465763999149203,1,9,soc
1,ÖLÇEK,2,ölçek,5.0,27.77229850005824,2,9,soc
1,ÇANTA,3,,,,0,9,soc
1,AĞAÇ,4,ağaç,4.0,13.227289899950849,1,9,soc
1,PARK,5,,,,0,9,soc
1,SARI,6,sarı,6.0,21.95050959999208,2,9,soc
1,ŞİŞE,7,,,,0,9,soc
1,BEYİN,8,,,,0,9,soc
1,BARDAK,9,,,,0,9,soc
1,MASA,10,masa,1.0,4.486726999981329,2,9,soc
1,YAZI,11,yazı,5.0,28.015475200023506,1,9,soc
1,KAĞIT,12,,,,0,9,soc
1,BİNA,13,,,,0,9,soc
1,KOLAY,14,,,,0,9,soc
1,RAKAM,15,,,,0,9,soc
1,KÖPEK,16,köpek,4.0,44.1066628000699,2,9,soc
1,EKRAN,17,,,,0,9,soc
1,KALE,18,,,,0,9,soc
2,TABAK,1,,,,0,9,soc
2,TERLİK,2,,,,0,9,soc
2,ŞİŞE,3,,,,0,9,soc
2,KEDİ,4,kedi,2.0,2.052089400007389,1,9,soc
2,CÜZDAN,5,,,,0,9,soc
2,KAPI,6,,,,0,9,soc
2,GRUP,7,,,,0,9,soc
2,BÜYÜK,8,büyük,6.0,7.905280299950391,2,9,soc
2,DEFTER,9,defter,3.0,3.837076000054367,1,9,soc
2,SPOR,10,,,,0,9,soc
2,TOPLU,11,,,,0,9,soc
2,ELMA,12,,,,0,9,soc
2,KAŞIK,13,,,,0,9,soc
2,SEHPA,14,sehpa,7.0,19.138365700026043,1,9,soc
2,KISA,15,kısa,4.0,9.60623110004235,1,9,soc
2,İLAÇ,16,ilaç,1.0,3.1822641000617296,1,9,soc
2,KOLTUK,17,,,,0,9,soc
