,LISTID,PRESENTED_WORD,PRESENT_POSITION,HIT,PARTICIPANT_GROUP,MOST_SIM_VAL,MOST_SIM_DIST,AVG_SIM_PREV_2,AVG_CONTRAST_3,PREV_SIM,PRESENT_ZONE,P_ID
6,1,KALEM,1,1,soc,,,,0.5257249781740736,,1,soc9
7,1,ÖLÇEK,2,0,soc,0.3389012,1.0,0.3389012,0.5570018370611244,0.3389012,1,soc9
8,1,ÇANTA,3,0,soc,0.35293227,2.0,0.29748029,0.5322654296795977,0.24202831,1,soc9
9,1,AĞAÇ,4,1,soc,0.38344455,2.0,0.38249148499999996,0.40701465312880714,0.38153842,1,soc9
10,1,PARK,5,0,soc,0.42821342,1.0,0.38591574500000003,0.5201721074000136,0.42821342,2,soc9
11,1,SARI,6,0,soc,0.32352942,5.0,0.26761306,0.5972628456047739,0.2391728,2,soc9
12,1,ŞİŞE,7,0,soc,0.475014,4.0,0.282222765,0.457856105171338,0.27699298,2,soc9
13,1,BEYİN,8,0,soc,0.3629623,7.0,0.33790578000000004,0.4464804927660606,0.36090514,2,soc9
14,1,BARDAK,9,0,soc,0.57344735,2.0,0.48133865,0.397118976211456,0.38922995,2,soc9
15,1,MASA,10,0,soc,0.3991087,2.0,0.39200316,0.4813695671396735,0.38489762,3,soc9
16,1,YAZI,11,1,soc,0.4933328,10.0,0.29299453,0.517583786237928,0.3030605,3,soc9
17,1,KAĞIT,12,0,soc,0.54864174,8.0,0.37729901,0.42357451675532143,0.38580614,3,soc9
18,1,BİNA,13,0,soc,0.40404665,8.0,0.28366063500000005,0.5458838517448251,0.29269272,3,soc9
19,1,KOLAY,14,0,soc,0.38691002,2.0,0.34307572,0.5375458507965365,0.29924142,3,soc9
20,1,RAKAM,15,0,soc,0.46593082,4.0,0.30995528,0.5141762865262164,0.32357016,3,soc9
21,1,KÖPEK,16,0,soc,0.4649074,8.0,0.313430785,0.5588686083934558,0.33812043,3,soc9
22,1,EKRAN,17,0,soc,0.2835013,15.0,0.249943845,0.662267480258194,0.22210707,3,soc9
23,1,KALE,18,0,soc,0.4019536,17.0,0.228021025,0.6969077214528815,0.21204185,3,soc9
24,2,TABAK,1,0,soc,,,,0.4712640747191079,,1,soc9
25,2,TERLİK,2,0,soc,0.46227136,1.0,0.46227136,0.41357581543978017,0.46227136,1,soc9
26,2,ŞİŞE,3,0,soc,0.44446674,2.0,0.41720374000000005,0.45287526957548396,0.38994074,1,soc9
27,2,KEDİ,4,1,soc,0.4558914,2.0,0.45538713,0.4455687585597753,0.45488286,1,soc9
28,2,CÜZDAN,5,0,soc,0.5149376,3.0,0.43458067499999997,0.4170921665850341,0.4445237,2,soc9
29,2,KAPI,6,0,soc,0.4451493,1.0,0.44094476000000005,0.44179382995451033,0.4451493,2,soc9
30,2,GRUP,7,0,soc,0.39615887,5.0,0.30277632499999996,0.5305279816042343,0.3474421,2,soc9
31,2,BÜYÜK,8,0,soc,0.3422365,7.0,0.31013121,0.5345703037781206,0.2918785,2,soc9
32,2,DEFTER,9,1,soc,0.43763897,4.0,0.29573549,0.5425989002813951,0.29639074,2,soc9
33,2,SPOR,10,0,soc,0.40417683,8.0,0.27956005,0.5554788958041004,0.24102236,3,soc9
34,2,TOPLU,11,0,soc,0.35744882,4.0,0.30432824999999997,0.5733988720970948,0.28589264,3,soc9
35,2,ELMA,12,0,soc,0.43838486,8.0,0.19549039,0.5875622212954601,0.20200007,3,soc9
36,2,KAŞIK,13,0,soc,0.589364,12.0,0.38829753499999997,0.4377343320437923,0.46791017,3,soc9
37,2,SEHPA,14,1,soc,0.5529075,1.0,0.43133821,0.4483382603693383,0.5529075,3,soc9
38,2,KISA,15,1,soc,0.40214,7.0,0.24489396000000002,0.6558683592876616,0.23282285,3,soc9
39,2,İLAÇ,16,1,soc,0.4146146,14.0,0.32437357499999997,0.562894744023132,0.34222457,3,soc9
40,2,KOLTUK,17,0,soc,0.4808347,3.0,0.1259905225,0.7494860377512156,0.18268733,3,soc9
41,3,PARKUR,1,0,soc,,,,0.562723728384807,,1,soc9
42,3,TOPRAK,2,0,soc,0.24761248,1.0,0.24761248,0.59142272863897,0.24761248,1,soc9
43,3,KALAS,3,0,soc,0.3306826,1.0,0.31642273,0.6746812377100341,0.3306826,1,soc9
44,3,DOLAP,4,1,soc,0.4097581,3.0,0.256175885,0.4258872860408215,0.22196402,1,soc9
45,3,KİTAP,5,1,soc,0.43762326,1.0,0.34610360500000004,0.4936277145366599,0.43762326,2,soc9
46,3,ODA,6,0,soc,0.3933454,2.0,0.3705585,0.5620631797043676,0.3477716,2,soc9
47,3,HALI,7,0,soc,0.41348156,3.0,0.29592761,0.5188915136555263,0.25789952,2,soc9
48,3,KÜÇÜK,8,0,soc,0.4007821,5.0,0.324388885,0.507202663815256,0.31949997,2,soc9
49,3,DUVAR,9,0,soc,0.471445,5.0,0.33220686,0.4822066272073402,0.32510942,2,soc9
50,3,SALÇA,10,0,soc,0.49627897,6.0,0.369639275,0.4012881589529046,0.3779416,3,soc9
51,3,CAM,11,0,soc,0.399174,7.0,0.39003713,0.47855252745713217,0.39491236,3,soc9
52,3,ÇİÇEK,12,1,soc,0.4708734,4.0,0.361388515,0.5339662526866233,0.33776563,3,soc9
53,3,YATAK,13,0,soc,0.4827052,7.0,0.319447265,0.5199774589716164,0.29841107,3,soc9
54,3,LAMBA,14,1,soc,0.5125295,4.0,0.369720875,0.3644311672368461,0.38557127,3,soc9
55,3,DÜĞME,15,1,soc,0.66616935,1.0,0.531859815,0.34074823156838563,0.66616935,3,soc9
56,3,KOKU,16,0,soc,0.49111593,6.0,0.45763783,0.4639664126844305,0.46388754,3,soc9
