,WORDS,CLUSTER
0,MASA,0
1,CAM,0
2,SU,4
3,İYİLİK,6
4,TÜTÜN,4
5,KELİME,8
6,KALEM,8
7,ÖLÇEK,1
8,ÇANTA,5
9,AĞAÇ,9
10,PARK,3
11,SARI,2
12,ŞİŞE,0
13,BEYİN,6
14,BARDAK,2
15,YAZI,8
16,KAĞIT,9
17,BİNA,3
18,KOLAY,7
19,RAKAM,8
20,KÖPEK,6
21,EKRAN,1
22,KALE,0
23,TABAK,2
24,TERLİK,5
25,KEDİ,6
26,CÜZDAN,5
27,KAPI,0
28,GRUP,1
29,BÜYÜK,7
30,DEFTER,8
31,SPOR,1
32,TOPLU,7
33,ELMA,2
34,KAŞIK,2
35,SEHPA,0
36,KISA,7
37,İLAÇ,4
38,KOLTUK,3
39,PARKUR,3
40,TOPRAK,4
41,KALAS,7
42,DOLAP,0
43,KİTAP,8
44,ODA,3
45,HALI,5
46,KÜÇÜK,7
47,DUVAR,3
48,SALÇA,0
49,ÇİÇEK,2
50,YATAK,3
51,LAMBA,0
52,DÜĞME,0
53,KOKU,4
54,FIRIN,0
55,TAHTA,0
56,MARKET,5
57,MEKTUP,7
58,KASA,5
59,HARİTA,1
60,DERGİ,8
61,PARA,5
62,ZEMİN,3
63,HALKA,7
64,TERAS,3
65,SIRA,1
66,KUTU,0
67,BAHÇE,3
68,SİLGİ,8
69,KALIP,9
70,ÇORAP,5
71,KABLO,0
72,TAŞLIK,2
73,KOLA,2
74,SULUK,2
