MASA,CAM,SU,İYİLİK,TÜTÜN,KELİME,KALEM,ÖLÇEK,ÇANTA,AĞAÇ,PARK,SARI,ŞİŞE,BEYİN,BARDAK,YAZI,KAĞIT,BİNA,KOLAY,RAKAM,KÖPEK,EKRAN,KALE,TABAK,TERLİK,KEDİ,CÜZDAN,KAPI,GRUP,BÜYÜK,DEFTER,SPOR,TOPLU,ELMA,KAŞIK,SEHPA,KISA,İLAÇ,KOLTUK,PARKUR,TOPRAK,KALAS,DOLAP,KİTAP,ODA,HALI,KÜÇÜK,DUVAR,SALÇA,ÇİÇEK,YATAK,LAMBA,DÜĞME,KOKU,FIRIN,TAHTA,MARKET,MEKTUP,KASA,HARİTA,DERGİ,PARA,ZEMİN,HALKA,TERAS,SIRA,KUTU,BAHÇE,SİLGİ,KALIP,ÇORAP,KABLO,TAŞLIK,KOLA,SULUK
-0.008491173,-0.067948975,-0.032345306,-0.07071178,0.17403421,-0.014247914,-0.11032255,-0.059940476,0.076353535,-0.12761313,-0.15693443,-0.010151553,-0.027819542,-0.0013906565,-0.027049908,-0.12882164,0.011107983,-0.015405528,9.558443e-05,-0.14915736,-0.017509928,-0.1615062,-0.077519104,0.05603442,0.043424405,-0.035267163,0.0104685975,0.12226998,0.04853075,-0.04425514,-0.068870254,-0.016189963,-0.021829225,-0.02844961,0.022110801,-0.0042025913,-0.13912079,0.1676797,0.0003008567,-0.043760907,0.04139955,-0.06456401,0.025108695,0.015841577,-0.051413257,-0.009718809,-0.07656638,-0.13868527,-0.0061531425,0.06318719,-0.091103524,-0.11260198,-0.025165427,0.09580123,0.08556327,-0.08242925,0.12482871,-0.11507978,-0.18654436,0.12751544,-0.07900598,0.0761758,-0.04717621,0.0023642937,-0.010493873,-0.12796432,0.034785308,-0.013033264,-0.03221766,-0.011983382,0.029142499,-0.07982606,-0.018045528,-0.047307502,0.0145183485
-0.0027046006,-0.08299516,-0.17798854,-0.03738252,-0.00014360482,0.06531727,-0.14703485,0.036171835,-0.043864742,-0.12679875,-0.110030845,-0.015010163,0.042416777,0.058760602,0.0100895865,-0.02079857,-0.008928705,0.0039436365,-0.08569023,-0.017053567,-0.02567552,-0.05634085,-0.04286542,-0.067198455,-0.063306615,-0.060155667,-0.026516637,-0.053412423,0.0023342732,-0.013533926,0.009871503,0.075387225,-0.057647683,-0.12707208,-0.047037724,-0.021871522,0.1219096,0.01621929,-0.034395367,-0.032904077,-0.07203856,0.015206019,0.012200834,0.049760647,-0.02726452,0.12075734,-0.09217976,-0.003259839,0.01577917,-0.15178354,-0.036464024,0.016231475,0.013347931,-0.027408449,0.028149232,-0.030335672,0.09037068,0.022558598,-0.06562786,0.016150905,-0.015521981,-0.2950992,0.1125094,0.043061994,-0.007374346,-0.06385898,0.018957494,0.073070854,-0.04629665,-0.023068719,-0.01926883,-0.10631586,-0.018467724,-0.05764357,-0.012513554
0.15613617,0.19690514,0.151428,0.022936488,0.023762101,0.13155259,0.116668746,0.08092218,0.042719375,-0.008998788,0.11425674,0.19412202,0.058676668,0.12299491,0.07494789,0.13462272,0.15811811,0.15840368,0.07556799,0.07828006,0.11813972,0.17202194,0.053121995,0.03249179,0.04980733,0.15473013,0.086079255,0.1803463,0.117125265,0.012059912,0.12136725,0.21429884,0.13433413,0.117701426,0.045576368,0.06135255,0.04768799,0.13884774,0.06636642,0.116011225,-0.038133692,0.023342546,0.15979637,0.10919481,0.16527458,0.2181726,0.064467266,0.11723041,0.05536343,0.0977667,0.11743802,0.09093315,0.059382327,0.057937376,0.025787815,0.113408774,0.093292005,0.11053276,0.10975232,0.15714882,0.21460557,0.079699576,0.01721346,0.016768392,0.084741704,0.13717853,0.12256861,0.09431392,0.05109871,0.106001064,0.023854986,0.082561344,0.06348342,0.13823187,-0.015231213
-0.084037535,-0.07705429,0.35895514,-0.0089654485,0.04817991,0.0060238764,0.071441524,0.11643895,-0.11433222,0.14984849,0.17074631,-0.00868961,0.07596763,-0.015490683,0.009887523,0.09140652,0.029067177,0.1007238,-0.05613012,-0.0023818957,-0.046536047,-0.07944021,0.028979555,-0.0021693911,-0.0051767547,0.019773057,-0.0125210835,-0.06821582,0.1523373,-0.015140774,0.06705516,-0.034415178,0.03509238,0.15505306,0.010300154,-0.044964172,0.0076664556,0.097857565,-0.18294828,-0.035152856,-0.004347469,0.035386592,-0.034017593,0.08538413,0.044185936,0.0073296065,0.055841874,-0.081684776,-0.005561496,-0.0021317191,0.054816946,-0.009523461,-0.000258442,1.1043157e-05,-0.14952722,-0.042529628,-0.056643456,0.039881837,-0.18676065,0.048498027,0.051882334,0.042600572,0.00059869327,0.07264733,0.014298627,0.049152266,0.020173647,0.04469153,0.0216154,0.021341434,0.038783237,-0.0008036641,0.007194668,0.0033883145,-0.08869787
0.009049905,-0.06344321,-0.48907226,-0.052261658,0.061903484,-0.07000064,0.085988075,0.040366508,0.002210956,0.022123933,-0.017376041,0.18638745,0.06359981,0.011364143,-0.042990085,0.13370252,0.05003605,0.022373151,-0.016412284,-0.024438992,-0.08907085,0.13425818,-0.039690964,-0.007972077,-0.006148891,-0.016057387,0.017079381,-0.05003523,0.0025088391,-0.05574694,0.16525938,0.1246292,0.13109064,0.0570331,0.059364267,0.030128246,-0.085448906,0.054846488,0.005525835,-0.008856365,0.0031772614,-0.009699814,-0.029455042,-0.11511653,0.10857324,-0.0013376623,-0.004826233,-0.07487618,0.024788456,0.02604097,-0.0448922,0.023952821,0.0015222707,-0.012160955,0.02874835,0.02286207,-0.081126705,0.017222447,0.001200219,0.11923951,0.09141986,0.03351016,-0.1292921,0.055328906,-0.041370846,0.16117366,0.039121043,-0.01614275,0.04665578,-0.04199899,0.0119992625,0.0009856857,0.014463407,0.008203965,0.0088960575
0.12243283,0.0059562866,0.1434434,-0.016547952,0.12581667,0.016017135,-0.004568783,-0.03789794,0.062134806,-0.09195043,-0.025610223,0.068732195,0.1302315,0.14154458,0.035207022,-0.044310447,-0.040380515,0.013955815,-0.042679507,-0.099580415,-0.0057657314,-0.0103974715,0.07779729,-0.014391586,-0.031317275,-0.06025387,-0.011194683,0.0043208934,0.015077068,-0.04250143,-0.2055006,0.0005725175,-0.12769967,0.006700294,-0.0032793493,0.0029187105,0.022632373,-0.04586005,0.0048426627,0.013510254,0.07520505,-0.021441203,-0.016070962,0.037312858,-0.1826384,0.14126772,-0.039569363,0.08641447,0.0031021251,-0.025148526,0.03879602,0.09724904,-0.017486172,0.057943545,-0.0065108244,-0.02772934,-0.07677912,-0.007899437,0.0025128794,0.006158226,-0.0690809,-0.010836368,0.005194952,0.05060267,-0.044256143,-0.08202279,0.04691283,-0.05767327,0.00534474,-0.10309589,-0.022719227,0.020989532,0.008613348,0.020169865,-0.054476738
-0.21110573,-0.37398383,-0.14893551,-0.04132781,0.03371157,-0.01111348,0.017177513,0.01735846,0.022689372,-0.043318957,0.008235082,0.078579776,-0.026290383,0.018626109,0.03275039,0.043809608,-0.05218446,0.008630294,-0.03710512,0.13489665,0.008696662,-0.0015715025,0.08133325,-0.0508067,-0.02004688,-0.040549703,0.011897873,-0.04475732,-0.0121387,0.023569468,0.011501503,0.053872637,-0.18578088,-0.03477575,0.0032515419,-0.030980317,-0.09654167,0.0584059,0.052826,0.015019983,-0.047736164,0.0037029628,-0.048501782,0.03560758,-0.13325757,-0.11798352,0.08045204,0.07499262,-0.0013511742,-0.053279355,-0.01986073,0.031429682,-0.015919745,-0.012338474,-0.007143237,0.036953688,-0.095277876,0.045593783,-0.036832113,0.022342091,-0.019677252,0.121311784,-0.09433038,0.0013067396,-0.07761147,0.002065152,0.04105839,0.042124107,-0.03001666,-0.1730515,-0.036352433,-0.056947965,-0.054100167,-0.031839155,-0.083666034
0.022256134,-0.43722406,0.24700847,0.04849766,0.018571956,-0.0032342428,0.1303776,-0.04674685,0.02686348,0.17448056,-0.020454695,0.030235857,-0.119638965,0.021013413,0.020704722,-0.0550193,0.04051979,0.025533743,0.106733896,0.0049996087,0.18515624,-0.09056817,-0.05158975,0.063877895,-0.016549328,0.1375817,-0.0011220679,-0.023418467,-0.07979488,0.08689819,0.12171769,0.11850359,0.020287747,0.1521697,0.08873227,-0.04576803,-0.0616427,0.008127971,-0.07537074,0.02802208,0.049760483,-0.0011592507,0.0149420425,0.07617749,-0.11897372,0.0049918424,0.068079576,-0.04073005,0.019018643,-0.008180202,0.0068828687,-0.08327776,-0.01603733,-0.0016768759,0.021495907,0.011621412,0.0060095023,0.086300515,0.11159169,0.017965415,0.0060884263,0.037508104,0.08432425,0.017414127,-0.079723105,0.10695842,-0.058566913,0.04397733,0.04260072,0.059294626,0.025366781,-0.121836185,0.0429462,0.012971933,0.017941492
-0.0011144405,-0.06878027,-0.29345694,-0.12346224,-0.014567405,-0.012521741,0.007861961,0.008348259,0.035717614,0.10100129,-0.007009442,-0.12859423,-0.03903643,-0.032830417,-0.030557616,0.19138794,-0.041259196,0.046965815,0.021443425,0.033275764,0.011570156,-0.056905832,-0.036454737,-0.051843412,-0.02000319,-0.019539967,-0.029177083,0.14503115,0.027719963,-0.0034667486,-0.060121477,-0.01872055,-0.020847721,0.02767945,0.022723079,0.02528676,0.021123454,-0.17784935,0.027871484,-0.05273042,0.004080891,0.0027713205,0.08833118,-0.002609545,0.039755337,-0.04690834,-0.013231391,0.09734283,0.01512582,-0.04415966,0.0025371923,0.053213358,0.059827007,-0.039715752,0.04215665,-0.13702814,-0.03118454,0.06159057,-0.12900987,-0.03217232,0.023451196,-0.04623396,0.011098294,0.10339538,0.07505467,-0.13923307,0.060679287,0.10463378,-0.014203552,0.05771994,-0.04101252,0.058519095,-0.0040201233,-0.060283717,0.022963032
-0.018998837,0.03529913,0.13901782,0.06868757,0.12519073,0.09387637,-0.046272706,0.07782099,0.08002664,-0.036053132,-0.0020776615,-0.008090439,0.09949374,-0.0042098444,0.023865415,-0.045255985,-0.06246182,0.08022316,0.14626332,-0.072443694,0.055215146,0.27427727,-0.037267886,0.072689526,0.07697693,0.0043168995,0.03207856,-0.07549892,-0.058413453,0.02745027,-0.03993223,-0.005061542,-0.028656473,0.015726127,-0.009161145,-0.0042471737,0.057090577,-0.038784653,0.014913742,0.056031074,-0.01491408,-0.024396246,0.0096559785,0.023066046,0.02048593,0.047458097,0.047113802,0.018918417,0.04207123,0.12580875,0.08040956,0.0011862796,0.008552844,0.07851263,0.13000393,0.023989718,0.041961327,0.06213036,-0.21526104,0.07875635,-0.0030804519,-0.09099,-0.024662802,-0.06971151,0.031678535,-0.0117933005,-0.006251754,-0.00041678548,0.005810413,0.103145204,-0.024808446,0.10429461,0.029512594,0.034955144,-0.035935562
