,MASA,CAM,SU,İYİLİK,TÜTÜN,KELİME,KALEM,ÖLÇEK,ÇANTA,AĞAÇ,PARK,SARI,ŞİŞE,BEYİN,BARDAK,YAZI,KAĞIT,BİNA,KOLAY,RAKAM,KÖPEK,EKRAN,KALE,TABAK,TERLİK,KEDİ,CÜZDAN,KAPI,GRUP,BÜYÜK,DEFTER,SPOR,TOPLU,ELMA,KAŞIK,SEHPA,KISA,İLAÇ,KOLTUK,PARKUR,TOPRAK,KALAS,DOLAP,KİTAP,ODA,HALI,KÜÇÜK,DUVAR,SALÇA,ÇİÇEK,YATAK,LAMBA,DÜĞME,KOKU,FIRIN,TAHTA,MARKET,MEKTUP,KASA,HARİTA,DERGİ,PARA,ZEMİN,HALKA,TERAS,SIRA,KUTU,BAHÇE,SİLGİ,KALIP,ÇORAP
MASA,1.0,0.3535586,0.21756317,0.34719118,0.25585473,0.29734737,0.34435073,0.27892464,0.39751527,0.32246557,0.31998503,0.3091369,0.342524,0.3991087,0.38489762,0.3030605,0.36879188,0.33965647,0.21997873,0.31927836,0.33917123,0.25996876,0.2638181,0.43186903,0.38854823,0.361748,0.39454857,0.39432248,0.3153506,0.30010694,0.2892703,0.2822512,0.31692114,0.25283614,0.36656335,0.52668655,0.2334048,0.29915038,0.31087336,0.39788345,0.2510175,0.24049532,0.49486926,0.28770193,0.32225618,0.40472358,0.31742033,0.40384996,0.3369517,0.34808198,0.41442066,0.34104475,0.39545274,0.23058553,0.32420135,0.42041895,0.36228505,0.14482726,0.34873444,0.26905978,0.27595496,0.32168567,0.40823618,0.22883211,0.34138152,0.21580872,0.38359976,0.32379538,0.2618538,0.3432917,0.37226915
CAM,0.3535586,1.0000006,0.31876975,0.24426295,0.24910285,0.17626949,0.29118708,0.23697664,0.33995938,0.38491595,0.30292574,0.21905349,0.569935,0.2864377,0.3970714,0.2343317,0.33915403,0.31930053,0.2758839,0.17495297,0.3334099,0.23400667,0.290218,0.40991175,0.2909003,0.3791226,0.31573445,0.4355617,0.25546244,0.20317115,0.23739241,0.16295737,0.22855262,0.22582108,0.33892396,0.46984845,0.19416364,0.3333976,0.27815372,0.27087474,0.2567484,0.24123397,0.399174,0.21640104,0.23965488,0.3006717,0.31080526,0.3851619,0.39491236,0.33776563,0.34048346,0.40911388,0.42991534,0.22704084,0.3466789,0.39002672,0.3115334,0.14485794,0.35345578,0.2265667,0.24202043,0.27154845,0.3127708,0.20304988,0.4179703,0.19279952,0.387488,0.39726743,0.30084836,0.40190202,0.3793928
SU,0.21756317,0.31876975,0.9999997,0.19139165,0.31282356,0.25374547,0.20720421,0.21673955,0.19558877,0.38533103,0.21022724,0.16817589,0.42601803,0.29153955,0.48230335,0.17295831,0.26998708,0.2757729,0.18338752,0.22342363,0.3137433,0.20900954,0.27896965,0.23428173,0.15973511,0.35619336,0.3342595,0.26253882,0.16636571,0.19212815,0.21212211,0.1552661,0.23199937,0.2583695,0.34811997,0.32174003,0.1385664,0.27931735,0.100630455,0.17521425,0.33389926,0.14569741,0.28068063,0.18529668,0.25884846,0.19757847,0.24021755,0.2786189,0.3904095,0.18590897,0.2241305,0.29535693,0.31221968,0.374426,0.37337974,0.30433294,0.20555101,0.19931579,0.23796849,0.24575168,0.15890807,0.29303953,0.2827226,0.13385944,0.21884786,0.07459699,0.30382136,0.2377193,0.2771357,0.22173618,0.28154117
İYİLİK,0.34719118,0.24426295,0.19139165,1.0000002,0.23170142,0.41523802,0.32781267,0.3329111,0.3063318,0.41160914,0.3433882,0.27551693,0.23838766,0.42923427,0.29140332,0.42297256,0.3710846,0.3116845,0.38389194,0.37973425,0.42142028,0.26208237,0.2386136,0.35949638,0.43541154,0.4100088,0.37405592,0.31536233,0.35754082,0.42138854,0.29475003,0.3208871,0.26895118,0.2985138,0.36525756,0.33233082,0.35737807,0.40213785,0.18487029,0.3229837,0.27669615,0.28827983,0.30532122,0.4379424,0.25901297,0.2577033,0.34224108,0.34622744,0.31904668,0.33301833,0.28334376,0.26637605,0.29119015,0.31641066,0.19691911,0.3505563,0.3292724,0.3840937,0.2113113,0.23260184,0.32407138,0.38222042,0.36363676,0.32306516,0.29845673,0.34424213,0.3322115,0.3809403,0.30195564,0.36688435,0.34012216
TÜTÜN,0.25585473,0.24910285,0.31282356,0.23170142,1.0000004,0.21351983,0.19964388,0.3064109,0.24899518,0.32943353,0.26893774,0.25762147,0.35766017,0.33444786,0.37250414,0.22202426,0.30813673,0.30070138,0.20558104,0.21980129,0.33669993,0.15993732,0.18750484,0.35879788,0.2841354,0.23900189,0.2948192,0.24257939,0.2934659,0.26577687,0.22885239,0.35316342,0.3333082,0.29073408,0.38553292,0.2926084,0.25287086,0.4490067,0.17387511,0.22956532,0.34626767,0.26175427,0.2446828,0.20168573,0.20296556,0.2584159,0.2944628,0.24271436,0.4123845,0.29648018,0.29594788,0.31235254,0.27076435,0.35222968,0.30406773,0.29483524,0.30139017,0.19486763,0.19595617,0.26560432,0.23101692,0.29575124,0.26678073,0.29170713,0.18576166,0.21200787,0.29446208,0.30779216,0.276192,0.24089384,0.3054684
KELİME,0.29734737,0.17626949,0.25374547,0.41523802,0.21351983,1.0000004,0.3059316,0.36346442,0.26130584,0.3725866,0.2120036,0.26684195,0.2028401,0.38038975,0.31416443,0.40045452,0.39906582,0.3166488,0.3597838,0.4761046,0.3979543,0.22670883,0.23610179,0.30198815,0.3511089,0.40668795,0.3750736,0.27890334,0.34164274,0.3884995,0.32983643,0.16235542,0.21731742,0.30512333,0.43382415,0.35663825,0.31282017,0.34608743,0.19082552,0.3281664,0.28830588,0.2478766,0.35777253,0.43307325,0.26284206,0.25413126,0.33945623,0.341991,0.33279568,0.29421344,0.2619346,0.35055983,0.40181172,0.33294162,0.21949223,0.42771426,0.31561747,0.31167668,0.24315633,0.3351212,0.3385341,0.28540242,0.3164641,0.25113416,0.24280332,0.27157483,0.39459828,0.26270428,0.3537906,0.40010434,0.34935734
KALEM,0.34435073,0.29118708,0.20720421,0.32781267,0.19964388,0.3059316,0.9999998,0.3389012,0.35293227,0.3726788,0.2841928,0.32352942,0.29204315,0.3629623,0.34219772,0.4933328,0.4597374,0.30975053,0.2413753,0.3962175,0.3546656,0.23708813,0.4019536,0.36608773,0.35773638,0.36281714,0.3557948,0.3424815,0.2759536,0.34475872,0.48082516,0.27986747,0.26339287,0.3127651,0.42268944,0.40906158,0.2824258,0.33146685,0.21503319,0.28924832,0.24575792,0.24254711,0.39726254,0.427504,0.28242725,0.301401,0.38537386,0.3623308,0.36595055,0.30806765,0.2882039,0.38232794,0.44032845,0.2979991,0.3193586,0.3810129,0.33846188,0.33825395,0.4416823,0.19088492,0.40484753,0.38066208,0.26992917,0.27253208,0.24717203,0.24554183,0.43400848,0.2811826,0.46285284,0.39360002,0.4015725
ÖLÇEK,0.27892464,0.23697664,0.21673955,0.3329111,0.3064109,0.36346442,0.3389012,0.9999999,0.24202831,0.38344455,0.30512348,0.24556002,0.29075453,0.32061154,0.28854495,0.37640342,0.35243773,0.32929286,0.32609946,0.39440662,0.21210329,0.2835013,0.3302923,0.3670789,0.3433252,0.2553176,0.32051277,0.22089843,0.34684858,0.40263653,0.3587345,0.29755515,0.28481567,0.2833898,0.34942523,0.4327764,0.32741725,0.32344562,0.1713982,0.37249678,0.2879616,0.30116007,0.33560592,0.29164666,0.22289707,0.27280894,0.42529422,0.2760345,0.42422995,0.28831673,0.31892467,0.4054516,0.41917616,0.23132975,0.35935575,0.36026374,0.27717757,0.23637071,0.3155221,0.4777888,0.28374615,0.2661903,0.3879106,0.27577406,0.29382753,0.26894745,0.4114368,0.31917915,0.23380895,0.44157705,0.35968626
ÇANTA,0.39751527,0.33995938,0.19558877,0.3063318,0.24899518,0.26130584,0.35293227,0.24202831,0.9999999,0.38153842,0.34361807,0.25265175,0.475014,0.32166585,0.39322418,0.29162297,0.44693145,0.3088793,0.31023642,0.28703257,0.3936699,0.22529416,0.294141,0.41621414,0.51296484,0.41159993,0.53760237,0.42792487,0.30922002,0.32057467,0.33822736,0.287681,0.36395854,0.29447696,0.45625564,0.5897645,0.1827021,0.30312493,0.3497501,0.3489035,0.21893884,0.24587014,0.47555998,0.36951146,0.2327913,0.4350878,0.38344297,0.39197364,0.47434855,0.34871122,0.41291046,0.3200758,0.5139053,0.36200067,0.39843085,0.41959283,0.3761098,0.2661531,0.3858581,0.26027843,0.25550944,0.34836644,0.37960672,0.27863747,0.34949857,0.18903604,0.44448063,0.36133543,0.40736207,0.40797538,0.5353797
AĞAÇ,0.32246557,0.38491595,0.38533103,0.41160914,0.32943353,0.3725866,0.3726788,0.38344455,0.38153842,1.0000004,0.42821342,0.29605332,0.44336507,0.3279502,0.46766984,0.35528117,0.54864174,0.36686105,0.28919542,0.3451504,0.46202505,0.22861767,0.31867138,0.42421114,0.41179168,0.51443917,0.34469643,0.37998834,0.3065242,0.35565346,0.3304028,0.27073872,0.27165052,0.45496464,0.52794886,0.4962514,0.21992569,0.36161256,0.25764906,0.27629358,0.45904207,0.24144402,0.40667063,0.33167338,0.25302663,0.37606043,0.42611763,0.41692182,0.51102585,0.4642925,0.34540492,0.3866452,0.45300314,0.40733114,0.35799605,0.4833445,0.29856542,0.25443614,0.3112532,0.3291942,0.27065283,0.3138906,0.38649985,0.3300164,0.38297507,0.2007914,0.4214243,0.55605483,0.3422429,0.4715212,0.46507254
PARK,0.31998503,0.30292574,0.21022724,0.3433882,0.26893774,0.2120036,0.2841928,0.30512348,0.34361807,0.42821342,0.9999999,0.2391728,0.28745255,0.31789482,0.27564293,0.28091657,0.3144545,0.40404665,0.19906515,0.2338801,0.33429617,0.22234619,0.39377257,0.3211283,0.35041663,0.3275073,0.33109537,0.37170538,0.37398925,0.28850633,0.26190498,0.37995398,0.27073896,0.2658569,0.25922924,0.40847978,0.1555631,0.26726076,0.38258308,0.55367273,0.3101357,0.29423845,0.42438403,0.25784805,0.28428733,0.3645044,0.3170103,0.31020343,0.36284637,0.34197888,0.3934071,0.41984344,0.3504668,0.31658724,0.32154515,0.34614846,0.44083214,0.2112253,0.29648775,0.26656955,0.26610735,0.35524866,0.35798955,0.28431752,0.4525543,0.19860996,0.2872768,0.57219464,0.30977964,0.2203505,0.34919965
SARI,0.3091369,0.21905349,0.16817589,0.27551693,0.25762147,0.26684195,0.32352942,0.24556002,0.25265175,0.29605332,0.2391728,0.99999994,0.27699298,0.31490642,0.33464295,0.26607415,0.38170138,0.26964834,0.274162,0.2609765,0.26838222,0.20562766,0.35213766,0.4297409,0.34982225,0.397489,0.26875907,0.31100377,0.18648896,0.29599088,0.23766442,0.282249,0.19630422,0.37203988,0.41047657,0.2877033,0.27607116,0.2568395,0.2785519,0.26657224,0.31853676,0.35000056,0.28119984,0.28790247,0.23142771,0.32179654,0.43704432,0.26499784,0.32388958,0.49394062,0.21297145,0.39006647,0.39620236,0.29668257,0.2182724,0.32856104,0.19865811,0.22920962,0.25035098,0.24030493,0.20746343,0.21557172,0.23271549,0.26465112,0.18512666,0.22951423,0.39353818,0.2475791,0.21369141,0.31709376,0.30909854
ŞİŞE,0.342524,0.569935,0.42601803,0.23838766,0.35766017,0.2028401,0.29204315,0.29075453,0.475014,0.44336507,0.28745255,0.27699298,0.99999946,0.36090514,0.57344735,0.22990675,0.42838985,0.31349576,0.26232973,0.25313511,0.4399126,0.22037308,0.29269317,0.44446674,0.38994074,0.45488286,0.42463765,0.33917266,0.23223527,0.26435834,0.22253215,0.1846335,0.22953182,0.3559047,0.48971486,0.48921588,0.2324991,0.38903543,0.17559999,0.26093525,0.2571215,0.24011645,0.3778577,0.2477153,0.15022685,0.3140678,0.33732235,0.34968454,0.57728386,0.4112566,0.3294048,0.41717452,0.4747017,0.3811853,0.34451976,0.37835395,0.26920998,0.15784767,0.2736141,0.22777772,0.27647012,0.2993634,0.3160881,0.29918632,0.31608766,0.17022434,0.49135813,0.35938343,0.31366658,0.3760714,0.49343824
BEYİN,0.3991087,0.2864377,0.29153955,0.42923427,0.33444786,0.38038975,0.3629623,0.32061154,0.32166585,0.3279502,0.31789482,0.31490642,0.36090514,1.0000001,0.38922995,0.39122522,0.3710992,0.3361335,0.2854019,0.3642433,0.4649074,0.26126936,0.3545144,0.33232448,0.40013233,0.4158586,0.39414138,0.3204189,0.31778517,0.4244251,0.2976367,0.2790989,0.24704441,0.34692186,0.4394038,0.40347996,0.30503222,0.42316753,0.31244662,0.34230086,0.3111242,0.28353894,0.38103974,0.37710845,0.27812645,0.37313,0.43488646,0.28879976,0.40419462,0.34975228,0.3654849,0.43238562,0.43998343,0.42217675,0.3205701,0.4102752,0.33364046,0.23797925,0.2903625,0.29527333,0.34899223,0.31127945,0.3259657,0.3216775,0.2695968,0.21431677,0.39243647,0.34732294,0.37274384,0.35848868,0.3501088
BARDAK,0.38489762,0.3970714,0.48230335,0.29140332,0.37250414,0.31416443,0.34219772,0.28854495,0.39322418,0.46766984,0.27564293,0.33464295,0.57344735,0.38922995,1.0000004,0.28292856,0.48910698,0.26028532,0.35291243,0.3213511,0.35654488,0.25516546,0.33625048,0.5906008,0.45335865,0.4494736,0.46245474,0.33007845,0.2631493,0.24198359,0.34781238,0.22061442,0.31993833,0.48598298,0.66448987,0.5614289,0.24394661,0.356577,0.3007032,0.23938496,0.32327357,0.3610576,0.479744,0.29406545,0.28841037,0.33552748,0.3675127,0.40736815,0.5704363,0.42537382,0.33049756,0.48147213,0.52781254,0.36711422,0.44798234,0.5273327,0.32603523,0.26130313,0.31432584,0.20820293,0.23057821,0.30407375,0.36979368,0.28048852,0.34837884,0.19301611,0.45884544,0.4011718,0.32288873,0.36907417,0.49121708
YAZI,0.3030605,0.2343317,0.17295831,0.42297256,0.22202426,0.40045452,0.4933328,0.37640342,0.29162297,0.35528117,0.28091657,0.26607415,0.22990675,0.39122522,0.28292856,1.0000004,0.38580614,0.27462855,0.3252166,0.46593082,0.303921,0.25200498,0.30715865,0.32170463,0.339029,0.34613663,0.39925295,0.29830888,0.3462526,0.30602837,0.38265523,0.2943637,0.33488584,0.22282986,0.33028466,0.35851064,0.37966874,0.2552295,0.20981687,0.2943852,0.24472255,0.2550685,0.4105587,0.44332469,0.31879023,0.25149608,0.35079238,0.44474503,0.27303186,0.29455543,0.23618601,0.3566199,0.37546024,0.3410215,0.22539955,0.36315826,0.27776876,0.47202083,0.26085842,0.29881707,0.45652935,0.3103724,0.29886314,0.29639187,0.23107593,0.28915125,0.39140588,0.34074855,0.40317157,0.3743304,0.29546568
KAĞIT,0.36879188,0.33915403,0.26998708,0.3710846,0.30813673,0.39906582,0.4597374,0.35243773,0.44693145,0.54864174,0.3144545,0.38170138,0.42838985,0.3710992,0.48910698,0.38580614,1.0000001,0.29269272,0.38691002,0.42579085,0.41663003,0.2243732,0.2810974,0.42111093,0.4531401,0.48975852,0.4929894,0.35502508,0.27952322,0.2754525,0.47043273,0.24344338,0.31192338,0.32027236,0.4823307,0.49280554,0.1980535,0.42969358,0.25622314,0.25403866,0.31029433,0.31487644,0.42332464,0.35957322,0.23563749,0.45327547,0.3371347,0.40084496,0.49828798,0.39385802,0.31453234,0.4141654,0.5267604,0.40787548,0.38937324,0.46908015,0.32853323,0.30120617,0.36997187,0.32903573,0.2726978,0.42209494,0.28214568,0.30366302,0.22546798,0.23572719,0.50789285,0.35752732,0.44567758,0.4943162,0.48870486
BİNA,0.33965647,0.31930053,0.2757729,0.3116845,0.30070138,0.3166488,0.30975053,0.32929286,0.3088793,0.36686105,0.40404665,0.26964834,0.31349576,0.3361335,0.26028532,0.27462855,0.29269272,1.0,0.29924142,0.2963404,0.33253533,0.24826914,0.2815983,0.3455709,0.31181535,0.30468395,0.34125167,0.3927805,0.36539194,0.3217062,0.28180698,0.30354744,0.36849585,0.11211324,0.29508787,0.37461513,0.2552132,0.31514016,0.2770984,0.3874691,0.34571058,0.24925365,0.40656236,0.32761383,0.34459746,0.31816304,0.3058243,0.4495076,0.2975725,0.2678252,0.344771,0.37064993,0.3368428,0.31244317,0.33786988,0.31892344,0.31252795,0.2430867,0.31600145,0.45450637,0.17732872,0.29794815,0.541362,0.30369785,0.4345225,0.3545569,0.30374506,0.42600378,0.3096867,0.38730222,0.2395469
KOLAY,0.21997873,0.2758839,0.18338752,0.38389194,0.20558104,0.3597838,0.2413753,0.32609946,0.31023642,0.28919542,0.19906515,0.274162,0.26232973,0.2854019,0.35291243,0.3252166,0.38691002,0.29924142,1.0000002,0.32357016,0.28874114,0.20780008,0.24199994,0.33618852,0.45026922,0.34694973,0.43971008,0.3453556,0.21974641,0.4199512,0.31698966,0.22308363,0.33430362,0.26503518,0.33299094,0.34985888,0.4281136,0.35800388,0.21895793,0.29036218,0.2446111,0.35511574,0.38596067,0.27956343,0.18430832,0.2319941,0.40779385,0.28376442,0.2892166,0.31998447,0.23122714,0.3174388,0.3720416,0.32153928,0.3484956,0.34830862,0.26582217,0.2756656,0.21994537,0.22974885,0.21539707,0.32822496,0.27327347,0.37796092,0.23881485,0.25944188,0.3243156,0.24557923,0.33341965,0.39548963,0.28356093
RAKAM,0.31927836,0.17495297,0.22342363,0.37973425,0.21980129,0.4761046,0.3962175,0.39440662,0.28703257,0.3451504,0.2338801,0.2609765,0.25313511,0.3642433,0.3213511,0.46593082,0.42579085,0.2963404,0.32357016,1.0000001,0.33812043,0.27778062,0.20127614,0.25622904,0.2948154,0.40979925,0.4426088,0.2861585,0.25271663,0.40951324,0.33462545,0.20701045,0.28704256,0.2290461,0.38190818,0.41313505,0.28618532,0.27426392,0.25268432,0.30227023,0.22649679,0.25308985,0.36609888,0.39093897,0.29769638,0.2769275,0.34450924,0.34482437,0.34512073,0.24002963,0.32694772,0.3852652,0.38038456,0.2929827,0.26101038,0.39225596,0.24306448,0.3439248,0.3289718,0.28922182,0.37336022,0.43194398,0.31443194,0.317929,0.2748855,0.35853383,0.42814988,0.22134793,0.35130304,0.31944236,0.36664125
KÖPEK,0.33917123,0.3334099,0.3137433,0.42142028,0.33669993,0.3979543,0.3546656,0.21210329,0.3936699,0.46202505,0.33429617,0.26838222,0.4399126,0.4649074,0.35654488,0.303921,0.41663003,0.33253533,0.28874114,0.33812043,1.0000002,0.22210707,0.2440002,0.30023456,0.4491951,0.70313257,0.44155043,0.39206737,0.2377105,0.38663247,0.30521598,0.26294973,0.25638556,0.34529254,0.47808042,0.42179456,0.24177562,0.4141924,0.26564562,0.34479737,0.26507375,0.24373126,0.40081134,0.3593633,0.26165918,0.34027326,0.41475677,0.3898136,0.46147177,0.35078293,0.32123137,0.37301558,0.42704558,0.4576655,0.3270378,0.44149444,0.36803082,0.2480049,0.3121791,0.21535532,0.26373073,0.38174075,0.29657632,0.30049068,0.35573012,0.18028915,0.35349604,0.40638798,0.3502729,0.3874456,0.49566066
EKRAN,0.25996876,0.23400667,0.20900954,0.26208237,0.15993732,0.22670883,0.23708813,0.2835013,0.22529416,0.22861767,0.22234619,0.20562766,0.22037308,0.26126936,0.25516546,0.25200498,0.2243732,0.24826914,0.20780008,0.27778062,0.22210707,0.99999976,0.21204185,0.2149571,0.25872934,0.20159848,0.37605128,0.2372931,0.15237685,0.27939996,0.31146687,0.211864,0.20329036,0.20720464,0.25273076,0.31366196,0.22410509,0.16778235,0.23488957,0.3432414,0.22095068,0.15550832,0.27886313,0.18099026,0.2667972,0.22212464,0.20228112,0.33287397,0.2652603,0.12668286,0.22262397,0.35408035,0.3971205,0.21480118,0.26281294,0.3155037,0.2293494,0.21799599,0.2792929,0.302152,0.22669512,0.22223035,0.21945542,0.14828941,0.20143236,0.26204437,0.36154884,0.17088549,0.30008015,0.1892488,0.22502632
KALE,0.2638181,0.290218,0.27896965,0.2386136,0.18750484,0.23610179,0.4019536,0.3302923,0.294141,0.31867138,0.39377257,0.35213766,0.29269317,0.3545144,0.33625048,0.30715865,0.2810974,0.2815983,0.24199994,0.20127614,0.2440002,0.21204185,0.9999998,0.34894928,0.33212492,0.32836217,0.3291803,0.4739236,0.34606922,0.32212403,0.29790884,0.21489319,0.23981237,0.34732297,0.34951925,0.43328118,0.22877456,0.23842925,0.24638696,0.32113516,0.33498976,0.31350172,0.3725748,0.29278567,0.21944113,0.40607896,0.34133327,0.30316466,0.36558124,0.28961575,0.29680887,0.44430694,0.39034605,0.2668004,0.3632405,0.36034817,0.3796208,0.2373389,0.29980826,0.2446514,0.29605424,0.23854391,0.28088927,0.2902339,0.3233519,0.24888815,0.4024943,0.41099834,0.3030593,0.33431244,0.336513
