SARI,KAĞIT,YAZI,EKRAN,PARK,ŞİŞE,KOLAY,AĞAÇ,KALE,KALEM,BEYİN,ÇANTA,ÖLÇEK,BARDAK,MASA,KÖPEK,RAKAM,BİNA,DEFTER,BÜYÜK,KAŞIK,GRUP,KAPI,İLAÇ,ELMA,KEDİ,TABAK,KOLTUK,CÜZDAN,SPOR,KISA,TOPLU,SEHPA,TERLİK,KİTAP,KALAS,HALI,FIRIN,LAMBA,PARKUR,KÜÇÜK,KOKU,YATAK,TOPRAK,ÇİÇEK,DÜĞME,SALÇA,CAM,DOLAP,ODA,DUVAR,KASA,DERGİ,KUTU,SİLGİ,MARKET,ÇORAP,TERAS,KALIP,TAHTA,HALKA,BAHÇE,ZEMİN,HARİTA,MEKTUP,PARA,SIRA,TAŞLIK,KOLA,SULUK
-0.010151553,0.011107983,-0.12882164,-0.1615062,-0.15693443,-0.027819542,9.558443e-05,-0.12761313,-0.077519104,-0.11032255,-0.0013906565,0.076353535,-0.059940476,-0.027049908,-0.008491173,-0.017509928,-0.14915736,-0.015405528,-0.068870254,-0.04425514,0.022110801,0.04853075,0.12226998,0.1676797,-0.02844961,-0.035267163,0.05603442,0.0003008567,0.0104685975,-0.016189963,-0.13912079,-0.021829225,-0.0042025913,0.043424405,0.015841577,-0.06456401,-0.009718809,0.08556327,-0.11260198,-0.043760907,-0.07656638,0.09580123,-0.091103524,0.04139955,0.06318719,-0.025165427,-0.0061531425,-0.067948975,0.025108695,-0.051413257,-0.13868527,-0.18654436,-0.07900598,0.034785308,-0.03221766,0.12482871,0.029142499,-0.010493873,-0.011983382,-0.08242925,0.0023642937,-0.013033264,-0.04717621,0.12751544,-0.11507978,0.0761758,-0.12796432,-0.018045528,-0.047307502,0.0145183485
-0.015010163,-0.008928705,-0.02079857,-0.05634085,-0.110030845,0.042416777,-0.08569023,-0.12679875,-0.04286542,-0.14703485,0.058760602,-0.043864742,0.036171835,0.0100895865,-0.0027046006,-0.02567552,-0.017053567,0.0039436365,0.009871503,-0.013533926,-0.047037724,0.0023342732,-0.053412423,0.01621929,-0.12707208,-0.060155667,-0.067198455,-0.034395367,-0.026516637,0.075387225,0.1219096,-0.057647683,-0.021871522,-0.063306615,0.049760647,0.015206019,0.12075734,0.028149232,0.016231475,-0.032904077,-0.09217976,-0.027408449,-0.036464024,-0.07203856,-0.15178354,0.013347931,0.01577917,-0.08299516,0.012200834,-0.02726452,-0.003259839,-0.06562786,-0.015521981,0.018957494,-0.04629665,0.09037068,-0.01926883,-0.007374346,-0.023068719,-0.030335672,0.043061994,0.073070854,0.1125094,0.016150905,0.022558598,-0.2950992,-0.06385898,-0.018467724,-0.05764357,-0.012513554
0.19412202,0.15811811,0.13462272,0.17202194,0.11425674,0.058676668,0.07556799,-0.008998788,0.053121995,0.116668746,0.12299491,0.042719375,0.08092218,0.07494789,0.15613617,0.11813972,0.07828006,0.15840368,0.12136725,0.012059912,0.045576368,0.117125265,0.1803463,0.13884774,0.117701426,0.15473013,0.03249179,0.06636642,0.086079255,0.21429884,0.04768799,0.13433413,0.06135255,0.04980733,0.10919481,0.023342546,0.2181726,0.025787815,0.09093315,0.116011225,0.064467266,0.057937376,0.11743802,-0.038133692,0.0977667,0.059382327,0.05536343,0.19690514,0.15979637,0.16527458,0.11723041,0.10975232,0.21460557,0.12256861,0.05109871,0.093292005,0.023854986,0.084741704,0.106001064,0.113408774,0.016768392,0.09431392,0.01721346,0.15714882,0.11053276,0.079699576,0.13717853,0.06348342,0.13823187,-0.015231213
-0.00868961,0.029067177,0.09140652,-0.07944021,0.17074631,0.07596763,-0.05613012,0.14984849,0.028979555,0.071441524,-0.015490683,-0.11433222,0.11643895,0.009887523,-0.084037535,-0.046536047,-0.0023818957,0.1007238,0.06705516,-0.015140774,0.010300154,0.1523373,-0.06821582,0.097857565,0.15505306,0.019773057,-0.0021693911,-0.18294828,-0.0125210835,-0.034415178,0.0076664556,0.03509238,-0.044964172,-0.0051767547,0.08538413,0.035386592,0.0073296065,-0.14952722,-0.009523461,-0.035152856,0.055841874,1.1043157e-05,0.054816946,-0.004347469,-0.0021317191,-0.000258442,-0.005561496,-0.07705429,-0.034017593,0.044185936,-0.081684776,-0.18676065,0.051882334,0.020173647,0.0216154,-0.056643456,0.038783237,0.014298627,0.021341434,-0.042529628,0.07264733,0.04469153,0.00059869327,0.048498027,0.039881837,0.042600572,0.049152266,0.007194668,0.0033883145,-0.08869787
0.18638745,0.05003605,0.13370252,0.13425818,-0.017376041,0.06359981,-0.016412284,0.022123933,-0.039690964,0.085988075,0.011364143,0.002210956,0.040366508,-0.042990085,0.009049905,-0.08907085,-0.024438992,0.022373151,0.16525938,-0.05574694,0.059364267,0.0025088391,-0.05003523,0.054846488,0.0570331,-0.016057387,-0.007972077,0.005525835,0.017079381,0.1246292,-0.085448906,0.13109064,0.030128246,-0.006148891,-0.11511653,-0.009699814,-0.0013376623,0.02874835,0.023952821,-0.008856365,-0.004826233,-0.012160955,-0.0448922,0.0031772614,0.02604097,0.0015222707,0.024788456,-0.06344321,-0.029455042,0.10857324,-0.07487618,0.001200219,0.09141986,0.039121043,0.04665578,-0.081126705,0.0119992625,-0.041370846,-0.04199899,0.02286207,0.055328906,-0.01614275,-0.1292921,0.11923951,0.017222447,0.03351016,0.16117366,0.014463407,0.008203965,0.0088960575
0.068732195,-0.040380515,-0.044310447,-0.0103974715,-0.025610223,0.1302315,-0.042679507,-0.09195043,0.07779729,-0.004568783,0.14154458,0.062134806,-0.03789794,0.035207022,0.12243283,-0.0057657314,-0.099580415,0.013955815,-0.2055006,-0.04250143,-0.0032793493,0.015077068,0.0043208934,-0.04586005,0.006700294,-0.06025387,-0.014391586,0.0048426627,-0.011194683,0.0005725175,0.022632373,-0.12769967,0.0029187105,-0.031317275,0.037312858,-0.021441203,0.14126772,-0.0065108244,0.09724904,0.013510254,-0.039569363,0.057943545,0.03879602,0.07520505,-0.025148526,-0.017486172,0.0031021251,0.0059562866,-0.016070962,-0.1826384,0.08641447,0.0025128794,-0.0690809,0.04691283,0.00534474,-0.07677912,-0.022719227,-0.044256143,-0.10309589,-0.02772934,0.05060267,-0.05767327,0.005194952,0.006158226,-0.007899437,-0.010836368,-0.08202279,0.008613348,0.020169865,-0.054476738
0.078579776,-0.05218446,0.043809608,-0.0015715025,0.008235082,-0.026290383,-0.03710512,-0.043318957,0.08133325,0.017177513,0.018626109,0.022689372,0.01735846,0.03275039,-0.21110573,0.008696662,0.13489665,0.008630294,0.011501503,0.023569468,0.0032515419,-0.0121387,-0.04475732,0.0584059,-0.03477575,-0.040549703,-0.0508067,0.052826,0.011897873,0.053872637,-0.09654167,-0.18578088,-0.030980317,-0.02004688,0.03560758,0.0037029628,-0.11798352,-0.007143237,0.031429682,0.015019983,0.08045204,-0.012338474,-0.01986073,-0.047736164,-0.053279355,-0.015919745,-0.0013511742,-0.37398383,-0.048501782,-0.13325757,0.07499262,-0.036832113,-0.019677252,0.04105839,-0.03001666,-0.095277876,-0.036352433,-0.07761147,-0.1730515,0.036953688,0.0013067396,0.042124107,-0.09433038,0.022342091,0.045593783,0.121311784,0.002065152,-0.054100167,-0.031839155,-0.083666034
0.030235857,0.04051979,-0.0550193,-0.09056817,-0.020454695,-0.119638965,0.106733896,0.17448056,-0.05158975,0.1303776,0.021013413,0.02686348,-0.04674685,0.020704722,0.022256134,0.18515624,0.0049996087,0.025533743,0.12171769,0.08689819,0.08873227,-0.07979488,-0.023418467,0.008127971,0.1521697,0.1375817,0.063877895,-0.07537074,-0.0011220679,0.11850359,-0.0616427,0.020287747,-0.04576803,-0.016549328,0.07617749,-0.0011592507,0.0049918424,0.021495907,-0.08327776,0.02802208,0.068079576,-0.0016768759,0.0068828687,0.049760483,-0.008180202,-0.01603733,0.019018643,-0.43722406,0.0149420425,-0.11897372,-0.04073005,0.11159169,0.0060884263,-0.058566913,0.04260072,0.0060095023,0.025366781,-0.079723105,0.059294626,0.011621412,0.017414127,0.04397733,0.08432425,0.017965415,0.086300515,0.037508104,0.10695842,0.0429462,0.012971933,0.017941492
-0.12859423,-0.041259196,0.19138794,-0.056905832,-0.007009442,-0.03903643,0.021443425,0.10100129,-0.036454737,0.007861961,-0.032830417,0.035717614,0.008348259,-0.030557616,-0.0011144405,0.011570156,0.033275764,0.046965815,-0.060121477,-0.0034667486,0.022723079,0.027719963,0.14503115,-0.17784935,0.02767945,-0.019539967,-0.051843412,0.027871484,-0.029177083,-0.01872055,0.021123454,-0.020847721,0.02528676,-0.02000319,-0.002609545,0.0027713205,-0.04690834,0.04215665,0.053213358,-0.05273042,-0.013231391,-0.039715752,0.0025371923,0.004080891,-0.04415966,0.059827007,0.01512582,-0.06878027,0.08833118,0.039755337,0.09734283,-0.12900987,0.023451196,0.060679287,-0.014203552,-0.03118454,-0.04101252,0.07505467,0.05771994,-0.13702814,0.10339538,0.10463378,0.011098294,-0.03217232,0.06159057,-0.04623396,-0.13923307,-0.0040201233,-0.060283717,0.022963032
-0.008090439,-0.06246182,-0.045255985,0.27427727,-0.0020776615,0.09949374,0.14626332,-0.036053132,-0.037267886,-0.046272706,-0.0042098444,0.08002664,0.07782099,0.023865415,-0.018998837,0.055215146,-0.072443694,0.08022316,-0.03993223,0.02745027,-0.009161145,-0.058413453,-0.07549892,-0.038784653,0.015726127,0.0043168995,0.072689526,0.014913742,0.03207856,-0.005061542,0.057090577,-0.028656473,-0.0042471737,0.07697693,0.023066046,-0.024396246,0.047458097,0.13000393,0.0011862796,0.056031074,0.047113802,0.07851263,0.08040956,-0.01491408,0.12580875,0.008552844,0.04207123,0.03529913,0.0096559785,0.02048593,0.018918417,-0.21526104,-0.0030804519,-0.006251754,0.005810413,0.041961327,-0.024808446,0.031678535,0.103145204,0.023989718,-0.06971151,-0.00041678548,-0.024662802,0.07875635,0.06213036,-0.09099,-0.0117933005,0.029512594,0.034955144,-0.035935562
0.15103832,0.08351266,-0.04222777,-0.052956477,0.051722363,-0.03729844,-0.036856398,0.009301245,-0.14248523,-0.112985,-0.05495609,-0.022273775,0.006680088,-0.033640902,0.017463384,-0.053396083,-0.01083101,-0.1370626,0.032636758,0.08658289,-0.06610171,-0.07969047,-0.060058825,-0.111551166,0.00012165184,0.021255687,-0.051899247,0.01792389,-0.031653717,0.060667425,-0.10268094,-0.025498739,-0.0045813983,-0.02619121,0.05148995,-0.058167797,0.04405312,-0.008694977,-0.05029062,0.01190156,0.0916061,0.044437673,-0.012820439,0.05604424,0.09467309,0.012676149,0.024462454,0.045060337,0.049116578,0.09711885,0.11307132,-0.07241331,-0.037714362,-0.15772772,0.0211664,-0.028790504,-0.055346157,0.018616844,-0.027717073,-0.09896002,-0.10285017,0.023266576,-0.018195556,0.015795376,-0.046918057,-0.109850585,-0.19212666,-0.015571738,-0.034018077,-0.025867
-0.06526791,-0.029060546,-0.15609059,0.050141625,-0.07195631,0.049692478,-0.06860955,-0.030876935,0.087328695,-0.04667855,0.024967566,-0.05561825,0.007711786,0.009207419,-0.06331516,-0.044774737,-0.093345344,0.019649943,-0.034541458,-0.02234909,-0.03739933,-0.03909561,-0.01855313,-0.19054556,-0.025528198,-0.021079546,-0.05586859,-0.039551392,-0.02051199,-0.1976445,0.016460333,0.015077296,-0.025744196,-0.074540935,-0.14632234,-0.046580847,-0.05246266,-0.011546573,0.03484451,0.00068962044,-0.017143989,-0.1104514,-0.049362365,-0.060164023,0.023614787,0.01637311,0.010948788,-0.047971837,-0.0407992,-0.13709374,-0.09992223,-0.08233559,-0.10351488,0.03591095,-0.09159017,-0.02452905,0.01798181,0.009084012,-0.014822686,-0.008376321,0.0018899221,0.0141304545,-0.061993483,0.028433992,-0.0011110365,-0.13816468,-0.15155391,-0.009774581,0.043299213,-0.04338509
-0.09617646,-0.18841264,-0.050356016,0.049236327,-0.037843175,-0.01872029,0.0008598417,-0.059284665,-0.07516241,-0.07132056,-0.05763008,-0.09055964,-0.030985486,-0.03009036,-0.15963408,-0.06226184,0.045849886,-0.19878647,-0.115581535,0.045579333,-0.05619988,-0.09117621,-0.116641454,-0.031583827,0.1197785,-0.14163232,-0.03878288,-0.10313957,-0.03808112,0.086690366,0.15479708,-0.13606142,-0.06306208,-0.007365474,-0.033326305,-0.038712956,-0.13158494,-0.10479442,-0.054592524,0.005105684,0.03724202,0.046186894,-0.12236676,-0.034793664,-0.05688174,-0.04781162,-0.051806875,-0.26770923,-0.06173558,0.03389744,-0.040781606,-0.13570654,0.21016636,-0.08006659,-0.030150246,-0.03889309,-0.07702499,0.01739923,-0.18112318,-0.054734368,-0.045736954,-0.03363736,-0.0029769985,-0.09520072,-0.064090334,-0.012428457,-0.05503475,-0.017868144,-0.06702883,-0.08861407
-0.008536952,-0.059338644,0.08566797,-0.0061697215,-0.14601122,-0.14241388,0.0128853265,-0.07176314,-0.041543327,0.024881218,-0.04815021,-0.012413025,0.105235934,-0.006927444,-0.13031782,-0.085845,0.00049124187,-0.0770232,0.04941993,0.0111653125,0.03857816,0.073318474,-0.10660307,0.09871875,-0.13376509,-0.043504678,0.061214656,-0.07673418,-0.06637655,0.041894965,0.008043738,-0.15188742,-0.027271692,-0.02207784,0.05607829,0.0022913504,-0.048767902,0.039820284,-0.071601175,0.014715755,-0.06908111,-0.0195514,-0.000100496225,-0.041370988,-0.072078824,-0.023613341,-0.028397115,-0.0892777,0.0021986014,0.013312671,0.014165003,-0.050976347,0.028463896,-0.030832535,0.019148795,-0.019108498,-0.042181972,-0.06962392,-0.021778503,-0.013601798,-0.04260788,-0.08371328,0.025895547,0.049540367,-0.0038138756,-0.15959823,-0.025414957,0.016956296,-0.05209432,-0.020393666
0.04951465,-0.031038865,-0.18923657,-0.022880793,-0.007375009,-0.025061592,-0.046410818,-0.065129384,0.022759033,0.04216165,-0.06921355,-0.035172768,-0.04649672,0.020435888,0.06708133,-0.05276218,-0.11967407,-0.043820363,-0.013212125,-0.07324213,-0.016104424,-0.057953205,-0.03743969,-0.054794446,0.14722088,-0.10905611,0.0026529445,-0.022510454,-0.056914996,-0.074071735,-0.12353017,-0.057732392,-0.034068312,-0.026343687,-0.08486278,-0.0081405565,-0.026860945,0.048106503,0.011320388,-0.028632326,-0.013812358,-0.04457286,-0.056154065,-0.0055957246,0.08424832,-0.047481887,-0.00051633804,0.023738686,-0.04705707,-0.14650911,-0.074905336,0.010695636,0.045547552,-0.1836321,-0.023519184,-0.042134494,-0.015427427,0.023491766,-0.022431567,7.10045e-05,-0.09856315,0.067196,-0.16499417,-0.031944305,-0.026592223,-0.16999596,-0.044645574,-0.0326017,-0.086301446,-0.006607862
0.13632165,0.12769413,-0.044565044,-0.07845213,0.06676036,0.07942957,0.11888103,-0.0025494061,0.14354923,-0.010162646,-0.08612324,0.04215337,-0.058686633,0.032543357,-0.016847938,0.06735645,0.039109185,0.22453436,0.1260853,-0.04154717,0.037397,0.16037314,0.19246505,0.08292589,-0.008716559,0.14441532,0.0038992465,-0.011201381,0.04696969,0.023545139,0.13070983,0.10829815,0.03416292,0.055081733,0.21640593,0.034940552,-0.07977368,-0.011347836,0.05143666,0.040089216,0.043864,0.03699735,0.10940841,-0.11724744,0.1336403,0.020347482,-0.017102528,0.08702846,0.049567416,0.1431465,0.028442074,0.102156416,0.10715157,0.040703937,0.052382037,-0.0033354608,0.045217127,0.08263227,-0.003567351,-0.022936901,0.14771669,0.09237394,-0.08016032,-0.045411043,0.122322656,0.17422651,0.14628895,0.0123002,0.03847922,0.103443995
-0.0018646227,0.021822669,0.06254804,0.17644408,-0.029163063,-0.05189821,0.031426035,-0.039195776,0.038590558,0.11683008,-0.011225764,0.07483856,0.068953514,-0.005954997,0.009937769,0.0028112214,0.09185174,-0.052367926,0.01723006,0.09802352,0.03860283,-0.15961199,-0.01604722,-0.01061818,0.06953794,0.06935182,-0.06119635,-0.022052376,0.036394965,0.13729155,-0.0744731,-0.02565631,0.02166406,0.025070814,0.039480824,-0.03639964,0.046763055,0.08762841,-0.038470153,0.051514525,0.0431605,0.004828708,-0.040405348,0.017958404,0.040418293,0.004416916,-0.0088161975,0.0059127957,0.061750986,0.025931647,0.11864894,0.15284266,0.05251948,0.03539508,-0.013160041,0.00129216,-0.0021297627,0.10011381,0.00476085,-0.033850692,0.07357246,-0.02286394,0.08326297,-0.050179016,0.03474823,0.12361686,0.012106784,0.033448227,0.041447334,-0.0005213013
0.030781744,0.01988218,-0.06254038,-0.0711966,0.043812357,-0.044837054,-0.033904947,-0.043696336,0.11345901,-0.0027041945,0.0007126741,-0.06235044,-0.025056344,-0.047947,0.021103006,-0.08170776,-0.101242185,0.070495605,0.024256054,0.012763935,-0.100391254,0.038636897,0.117947295,0.15165249,0.05473849,0.0021665725,0.032813508,0.079773985,-0.0119773,-0.069108665,0.011667959,-0.10345912,-0.021016106,-0.04642212,0.054915797,0.0030363477,0.18767858,-0.14628938,-0.021403283,-0.048101705,-0.0015950184,-0.035330094,0.058555648,0.04396248,-0.010616278,-0.019581715,-0.034023475,0.105940804,0.041373238,0.20696941,0.10758809,0.09277945,0.119923964,-0.047422703,0.004806122,0.0988825,-0.082381524,0.0010748319,-0.05397959,-0.038641706,-0.089486025,0.07511782,0.15895657,0.052060824,-0.044518284,-0.0036767721,0.0030002247,-0.0005130099,0.009372313,0.028793078
-0.13194439,-0.07097032,0.0010358518,-0.06453531,-0.07426183,-0.04009559,-0.06678861,-0.057583034,-0.03319083,-0.093030125,-0.085514165,-0.11199328,0.022095645,-0.01339705,-0.19857869,-0.07957221,0.0034047044,-0.031899005,-0.06660272,-0.05282723,-0.023378946,-0.035978824,-0.1783734,-0.010605117,-0.14081109,-0.06612773,-0.0326786,-0.04659788,-0.013461758,0.16913985,0.06778887,0.12945302,-0.057325773,-0.010203118,0.0116681475,0.038423374,-0.030929616,-0.071394645,-0.07850405,-0.071554676,-0.051804155,-0.07767263,-0.07619852,-0.0058085695,-0.06848646,-0.07659094,-0.021789012,-0.11555215,-0.08933779,-0.18144834,-0.00073353155,-0.25572562,-0.05934825,-0.18551335,-0.028916243,0.0046771034,0.02115356,-0.044401914,0.027125672,-0.07909115,0.00074872887,-0.12919419,-0.08185795,-0.054157913,0.13306277,-0.114667825,-0.10079728,-0.03955161,-0.095830046,0.024103224
0.06999631,-0.17050274,-0.11939311,-0.05704257,-0.08865448,-0.05203846,-0.024057698,-0.062382683,-0.034823257,-0.09156178,-0.047478266,-0.09033027,-0.07684321,0.0092577385,-0.034943637,-0.13102737,-0.12112448,-0.090857655,-0.09319279,0.03387564,-0.093976386,0.021968395,-0.048873745,-0.16660497,-0.04156301,-0.08918979,0.024083419,-0.022815472,-0.05094559,-0.025854036,-0.0028593566,-0.026724186,-0.08009515,-0.047682766,-0.036144238,0.02441187,-0.15799248,-0.10597402,-0.0023540556,-0.03354878,0.018017128,-0.10964541,-0.045406822,-0.025596498,-0.028938688,-0.053737342,-0.105447024,-0.06744306,0.023543697,-0.026170809,-0.030713823,-0.06599154,-0.10270223,-0.07724038,-0.031720057,-0.13712005,-0.09187333,-0.061122693,-0.16309065,-0.09583523,0.047272697,0.032616287,-0.0025637262,-0.09301678,-0.02700898,-0.14766562,0.10450548,-0.013758791,0.0060413284,-0.07163183
0.0890681,-0.040500052,-0.07892893,-0.099951945,-0.008073236,0.044361368,-0.07593305,0.04506723,-0.11500466,-0.12792261,-0.15867817,-0.0713557,-0.07609934,-0.021136224,-0.059230294,-0.056762572,-0.05594022,-0.17419001,-0.08932221,-0.07543634,-0.059112724,-0.20356727,0.042333882,-0.17475896,-0.047054395,0.012674428,-0.0063792123,-0.06680693,-0.04896146,-0.027917948,-0.15640628,-0.0020027715,-0.042825874,-0.055851262,-0.12318091,0.043398514,0.060779613,-0.0061910516,-0.10305736,-0.06709602,0.03390359,-0.007895174,0.003180732,0.025386829,0.02392976,-0.031827044,-0.007040429,-0.004425615,-0.094103664,-0.12526004,-0.0060234107,-0.018590212,-0.17220579,-0.11528539,-0.07034792,-0.06318508,-0.002737649,-0.043056242,0.014197228,-0.020988079,-0.052891236,-0.008004805,-0.023675159,-0.11760821,-0.0021103246,0.029663377,-0.093096405,-0.06715035,-0.039540205,-0.058981627
-0.09980335,0.025158383,0.10964754,0.13724305,-0.0039459867,-0.13047114,-0.18948066,-0.112103604,-0.048875745,-0.061886035,0.0041949432,0.025876235,-0.09036804,0.025722269,0.009350009,0.0034810884,0.10400911,0.008440649,-0.04657033,-0.09996678,-0.0035174591,-0.028748743,-0.06645343,-0.098404214,-0.030464893,0.04565598,-0.03922751,-0.046622723,0.009898924,-0.12967888,-0.020664578,0.106930815,-0.0021321035,0.047184125,-0.0058313087,0.009647332,0.09308161,0.0019017013,0.027128162,-0.019445606,-0.10839112,0.02399796,0.042854454,0.034020226,-0.072265096,0.028554153,0.0050103143,-0.22683546,-0.0018087802,0.15475333,0.078033514,0.036308117,0.06099473,0.035348162,-0.008347843,0.11934924,0.05727349,0.01593992,-0.12804903,0.07953477,0.0049210144,-0.08012247,0.058312505,0.0072570606,0.14467092,0.11595067,0.09841346,0.012354078,-0.060660522,-0.021666298
-0.06148103,-0.08058874,-0.050581582,0.06371365,-0.02030521,-0.044942524,-0.027327958,-0.0062327376,-0.0029993034,0.01771342,0.026299376,-0.04984641,0.02489238,0.02521245,-0.17292163,-0.026989339,0.046195615,-0.071776584,0.024135094,-0.070380256,0.011497625,-0.009740079,-0.116196536,0.10593064,-0.05680669,0.07187022,0.02529003,0.022431482,-0.014393593,-0.022833621,0.051323034,0.01651685,-0.015714185,0.01684218,0.004537317,0.012967538,0.05589518,-0.018369364,-0.067547254,-0.04085183,-0.13591263,-0.094081745,-0.010207073,0.035764262,-0.0082920985,-0.015247578,-0.02675334,0.08558309,-0.062520735,-0.0067158807,0.021020986,-0.0066020237,0.12822233,0.0034605116,-0.011401306,-0.09754337,0.00879386,0.07875448,-0.080260895,-0.11308441,-0.0077884784,-0.02319561,0.05045533,-0.048975356,-0.05820169,-0.016685957,0.11499604,-0.051282037,-0.0025860346,-0.10375343
0.00768673,-0.0018110676,0.042888403,-0.16012341,-0.0343005,-0.09654318,0.006892912,-0.04353141,-0.050010525,0.010695239,-0.01134352,0.034389652,-0.0013377895,0.025966424,0.03276921,-0.0040334323,-0.05508917,-0.09540894,0.053922188,0.03361328,0.056693226,0.12580544,0.059120737,0.047481924,0.052029487,-0.017584447,0.023126567,0.053443205,0.0039628283,0.10262905,0.017825626,-0.007425258,-0.033509735,-0.02387598,0.13351104,0.021502724,-0.06377539,-0.028644733,-0.040573247,0.003934664,-0.01170597,-0.09633838,-0.03233122,-0.07943576,-0.01879952,-0.03280532,-0.037618622,-0.010246406,-0.035486616,-0.099386565,0.024740394,-0.10161656,-0.019828035,0.049985137,0.051131133,-0.062704645,-0.010576122,-0.01250867,0.052306008,0.10506606,0.111361116,-0.030092863,0.14081568,0.07856629,0.06593418,-0.086280495,0.0069894544,0.046032242,0.046796665,-0.0070875473
0.17388085,0.1150824,0.10487055,0.01410551,0.09980613,0.0835987,0.060105678,0.09394651,0.11775776,0.10470216,0.044911508,0.060777597,0.05189531,0.06528439,0.041571457,0.027276201,0.09115086,0.15460756,0.08292555,0.06069762,0.12949227,0.1064738,0.14345527,0.074279405,0.12399649,0.093941435,0.11805018,0.065398134,0.04533744,0.032572545,0.08553071,-0.06411548,0.0670812,0.044763334,0.09364608,0.05736604,0.030601144,0.10824196,0.051664256,0.053827684,0.09755081,0.13370013,0.06140942,0.087773874,0.09701772,0.114988804,0.08991063,0.0047887936,0.09802092,0.18594122,0.14434826,0.17652218,0.1284568,0.15545309,0.029101413,0.10248863,0.070066996,0.0845062,0.0888897,0.13946791,-0.07136082,0.10579523,0.11488995,0.033054244,0.0660292,0.04941947,-0.011101862,0.039892267,0.07345584,0.1257149
-0.07467025,-0.01923512,0.07315266,0.046369143,-0.07058227,0.034625426,0.022789462,0.0080632325,-0.055324607,-0.051300313,0.04051405,-0.061792564,0.13560472,0.010361373,-0.0464826,0.016063746,-0.03140626,0.16168138,0.04668803,0.05483041,0.045140535,0.007015986,-0.21646082,0.04538393,-0.007986702,-0.03318257,-0.001988656,0.06362861,-0.036371853,-0.03611205,0.14883761,0.010252781,0.049555324,-0.0017410445,-0.042076778,-0.00014671063,-0.047081202,-0.069534265,0.079326525,0.029147375,0.060084358,0.054419324,0.0072060805,-0.0572821,0.04378312,0.07047879,0.009876476,-0.05766944,0.0003654277,-0.13414334,-0.009810209,0.05071686,-0.04801588,0.0972722,0.055669054,0.009294069,0.029216412,0.12553321,0.075126864,0.034883086,-0.002783923,-0.019746775,0.026995495,0.056386888,-0.04753447,-0.0151332,-0.13992505,-0.030966619,0.11269107,-0.01524486
-0.000408041,-0.026322559,-0.09749954,0.06587829,-0.17619304,0.111902475,0.038837098,-0.03495507,-0.115494154,0.040609673,0.092174806,0.038529426,-0.03736185,1.1625886e-05,0.0050723776,0.03196457,0.06279089,0.0481217,-0.04315054,0.06526294,-0.028305363,-0.14658256,0.025938105,-0.04952402,0.037670553,-0.00028526038,-0.032658115,-0.038456716,0.018015511,-0.008046682,-0.08429305,0.05542464,-0.006408803,-0.007387516,0.0127884485,-0.05123356,0.09959348,-0.018640552,-0.004594042,-0.07369425,0.03402901,-0.09618048,-0.012140751,-0.032270927,-0.001814743,-0.02465545,0.012063596,0.13286339,-0.00033656647,-0.20359358,-0.004201714,0.11316883,-0.010822481,0.0010205358,0.021622878,0.043461632,0.055035245,-0.03442983,-0.00451723,0.021904284,0.09458413,0.031305723,0.02857466,-0.14079049,-0.072361685,0.15746032,-0.029463701,-0.011617278,0.09522691,-0.05742298
